model,attribution_method,successful_prompts,total_prompts,success_rate,model_loading_time,attribution_time,average_prompt_time,total_time,platform,cpu_model,cpu_cores,memory_gb,gpu_info,cuda_available,mps_available,torch_version
BART,input_x_gradient,20,20,100.0,6.689516067504883,25.393926858901978,1.2688782572746278,32.0902054309845,Linux,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,4,15.41,Tesla T4,True,False,2.6.0+cu124
BART,saliency,20,20,100.0,2.0706095695495605,21.14231252670288,1.0562916040420531,23.217973470687866,Linux,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,4,15.41,Tesla T4,True,False,2.6.0+cu124
BART,lime,20,20,100.0,1.92179536819458,206.07212662696838,10.302802419662475,207.9993917942047,Linux,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,4,15.41,Tesla T4,True,False,2.6.0+cu124
BART,integrated_gradients,20,20,100.0,1.771712303161621,40.595327615737915,2.0289751291275024,42.37208437919617,Linux,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,4,15.41,Tesla T4,True,False,2.6.0+cu124
BART,layer_gradient_x_activation,20,20,100.0,1.7568175792694092,24.29763174057007,1.2140488386154176,26.059504985809326,Linux,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,4,15.41,Tesla T4,True,False,2.6.0+cu124
BART,attention,20,20,100.0,1.9474446773529053,6.160432815551758,0.3072866082191467,8.112829446792603,Linux,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,4,15.41,Tesla T4,True,False,2.6.0+cu124
GPT-2,input_x_gradient,20,20,100.0,8.731158256530762,25.594857692718506,1.2789698600769044,34.330036640167236,Linux,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,4,15.41,Tesla T4,True,False,2.6.0+cu124
GPT-2,saliency,20,20,100.0,0.7507948875427246,21.82303023338318,1.0903324961662293,22.578137397766113,Linux,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,4,15.41,Tesla T4,True,False,2.6.0+cu124
GPT-2,lime,20,20,100.0,0.7954864501953125,264.53707551956177,13.226036703586578,265.3367762565613,Linux,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,4,15.41,Tesla T4,True,False,2.6.0+cu124
GPT-2,integrated_gradients,20,20,100.0,0.857450008392334,43.421854734420776,2.1702202796936034,44.283600091934204,Linux,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,4,15.41,Tesla T4,True,False,2.6.0+cu124
GPT-2,layer_gradient_x_activation,20,20,100.0,0.7787518501281738,26.99924898147583,1.3491352677345276,27.782049894332886,Linux,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,4,15.41,Tesla T4,True,False,2.6.0+cu124
GPT-2,attention,20,20,100.0,1.306030511856079,5.413543701171875,0.26989710330963135,6.723394155502319,Linux,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,4,15.41,Tesla T4,True,False,2.6.0+cu124
BART,input_x_gradient,20,20,100.0,6.25324821472168,17.920048475265503,0.895346212387085,24.17979097366333,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
BART,saliency,20,20,100.0,1.4401299953460693,14.178442478179932,0.7082929372787475,15.621749877929688,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
BART,lime,20,20,100.0,1.7679684162139893,106.44668555259705,5.3216843724250795,108.21816992759705,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
BART,integrated_gradients,20,20,100.0,1.6136226654052734,11.504972696304321,0.5746909737586975,13.122137308120728,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
BART,layer_gradient_x_activation,20,20,100.0,1.514878511428833,17.457725048065186,0.8722634673118591,18.975861072540283,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
BART,attention,20,20,100.0,1.5324912071228027,3.396571159362793,0.16936652660369872,4.932378768920898,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
GPT-2,input_x_gradient,20,20,100.0,7.03747296333313,16.89829921722412,0.8442907810211182,23.938610076904297,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
GPT-2,saliency,20,20,100.0,0.7322800159454346,13.440555572509766,0.6714171051979065,14.175649881362915,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
GPT-2,lime,20,20,100.0,0.7063665390014648,129.88223910331726,6.493485641479492,130.59120774269104,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
GPT-2,integrated_gradients,20,20,100.0,0.6725668907165527,9.863667726516724,0.49262648820877075,10.538932085037231,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
GPT-2,layer_gradient_x_activation,20,20,100.0,0.6585609912872314,16.271728992462158,0.812960422039032,16.93288826942444,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
GPT-2,attention,20,20,100.0,0.6775798797607422,2.6083922386169434,0.1300017237663269,3.2883951663970947,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
Llama-3-2-1B,input_x_gradient,20,20,100.0,13.299463510513306,45.600722312927246,2.279411768913269,58.903051137924194,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
Llama-3-2-1B,saliency,20,20,100.0,1.4212357997894287,39.158581495285034,1.9573077440261841,40.58250379562378,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
Llama-3-2-1B,lime,20,20,100.0,1.3244292736053467,13.96340012550354,0.6976051092147827,15.290627717971802,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
Llama-3-2-1B,integrated_gradients,20,20,100.0,1.3022148609161377,27.574141263961792,1.3781168103218078,28.879083395004272,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
Llama-3-2-1B,layer_gradient_x_activation,20,20,100.0,1.3401858806610107,43.775784730911255,2.1881684184074404,45.11902594566345,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
Llama-3-2-1B,attention,20,20,100.0,1.3369476795196533,7.71663498878479,0.3852586507797241,9.056471824645996,Linux,Intel(R) Xeon(R) Platinum 8468,16,196.57,NVIDIA H200,True,False,2.6.0+cu124
